1,2,3,4,5
18169,31173,,,
18175,31175,,,
18177,31179,,,
19007,31181,,,
19039,31183,,,
19047,32003,,,
19051,32007,,,
19053,32510,,,
19107,34001,,,
19111,34033,,,
19115,35027,,,
19117,36007,,,
19135,36011,,,
19137,36015,,,
19159,36019,,,
19173,36023,,,
19177,36031,,,
19179,36037,,,
19185,36039,,,
19187,36041,,,
20001,36043,,,
20003,36045,,,
20017,36063,,,
20019,36065,,,
20021,36077,,,
20035,36095,,,
20049,36097,,,
20055,36099,,,
20057,36105,,,
20073,36115,,,
20099,36117,,,
20107,36123,,,
20111,37001,,,
20125,37019,,,
20133,37029,,,
20175,37035,,,
20205,37049,,,
20207,37051,,,
20209,37067,,,
21001,37073,,,
21003,37077,,,
21007,37085,,,
21009,37087,,,
21011,37097,,,
21013,37101,,,
21017,37109,,,
21019,37113,,,
21023,37133,,,
21025,37137,,,
21027,37139,,,
21031,37141,,,
21033,37143,,,
21039,37147,,,
21041,37175,,,
21043,37189,,,
21045,38003,,,
21047,38021,,,
21051,38043,,,
21053,38049,,,
21055,38069,,,
21057,38071,,,
21061,38073,,,
21063,38077,,,
21065,38081,,,
21069,38083,,,
21071,38103,,,
21075,39021,,,
21077,39035,,,
21079,39039,,,
21081,39043,,,
21083,39051,,,
21085,39069,,,
21087,39083,,,
21089,39093,,,
21095,39099,,,
21097,39113,,,
21099,39117,,,
21101,39129,,,
21103,39135,,,
21105,39149,,,
21107,39151,,,
21109,39153,,,
21115,39161,,,
21119,39169,,,
21121,40003,,,
21123,40007,,,
21125,40009,,,
21127,40031,,,
21129,40037,,,
21131,40039,,,
21133,40045,,,
21135,40047,,,
21137,40051,,,
21139,40053,,,
21141,40059,,,
21143,40099,,,
21147,40103,,,
21153,40119,,,
21155,40123,,,
21159,40129,,,
21161,40137,,,
21165,40149,,,
21167,40151,,,
21169,40153,,,
21171,41001,,,
21173,41007,,,
21175,41009,,,
21177,41015,,,
21179,41039,,,
21181,41041,,,
21183,41043,,,
21187,41047,,,
21189,41057,,,
21191,41061,,,
21193,41063,,,
21195,42007,,,
21197,42013,,,
21199,42015,,,
21201,42021,,,
21203,42025,,,
21205,42037,,,
21207,42049,,,
21213,42073,,,
21217,42079,,,
21219,42081,,,
21221,42085,,,
21223,42099,,,
21225,42113,,,
21229,42115,,,
21231,42117,,,
21233,42119,,,
21235,42123,,,
21237,42131,,,
22001,44007,,,
22003,45003,,,
22007,45015,,,
22009,45051,,,
22011,45077,,,
22013,46005,,,
22021,46009,,,
22023,46019,,,
22025,46021,,,
22027,46025,,,
22029,46039,,,
22031,46045,,,
22035,46049,,,
22037,46051,,,
22039,46053,,,
22041,46057,,,
